"","model1_ASC_t","model1_DES_t","model2_ASC_t","model2_DES_t","model3_ASC_t","model3_DES_t","model4_ASC_t","model4_DES_t","model1_ASC_P","model1_DES_P","model2_ASC_P","model2_DES_P","model3_ASC_P","model3_DES_P","model4_ASC_P","model4_DES_P","model1_ASC_FDR","model1_DES_FDR","model2_ASC_FDR","model2_DES_FDR","model3_ASC_FDR","model3_DES_FDR","model4_ASC_FDR","model4_DES_FDR"
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia",-2.8009701862018,-3.26848922646918,-2.84515832581444,-3.45088499855528,-2.42802994577145,-2.92298224180645,-2.18867001930558,-2.67008041258709,0.00566828985588139,0.00130297749899773,0.00497820751807545,0.000703938269778107,0.0162559060007527,0.00395694708996223,0.0300980188923595,0.00838662891905263,0.257502310595755,0.0591924063830396,0.197883748843499,0.0453645112452467,0.406800620467252,0.114513981036325,0.435053182171378,0.210065255489433
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales",-2.8009701862018,-3.26848922646918,-2.84515832581444,-3.45088499855528,-2.42802994577145,-2.92298224180645,-2.18867001930558,-2.67008041258709,0.00566828985588139,0.00130297749899773,0.00497820751807545,0.000703938269778107,0.0162559060007527,0.00395694708996223,0.0300980188923595,0.00838662891905263,0.257502310595755,0.0591924063830396,0.197883748843499,0.0453645112452467,0.406800620467252,0.114513981036325,0.435053182171378,0.210065255489433
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae",-2.53258212138741,-3.10437854644159,-2.58024702976296,-3.29850737348149,-2.15688043064151,-2.69110811520233,-1.950569243281,-2.42880546436122,0.0122017914107161,0.00222626473086702,0.010707937962947,0.00118256111857623,0.0324624182486973,0.00785944948098812,0.0528890602752251,0.0162851356766138,0.279404543441816,0.0634424310454139,0.242271712762062,0.0453645112452467,0.406800620467252,0.164278517807981,0.536604665485784,0.210065255489433
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae--g__Collinsella",-2.50443106889529,-3.08705466179524,-2.55537892762103,-3.28037681426099,-2.1368462174325,-2.67350025949746,-1.92779751248691,-2.40870241420768,0.0131794595963121,0.00235292117265978,0.0114731967668575,0.00125637942637935,0.0340841692527429,0.00826558580165943,0.0556853898145625,0.0171751466752367,0.279404543441816,0.0634424310454139,0.242271712762062,0.0453645112452467,0.406800620467252,0.164278517807981,0.536604665485784,0.210065255489433
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae--g__Collinsella--__",-2.50443106889529,-3.08705466179524,-2.55537892762103,-3.28037681426099,-2.1368462174325,-2.67350025949746,-1.92779751248691,-2.40870241420768,0.0131794595963121,0.00235292117265978,0.0114731967668575,0.00125637942637935,0.0340841692527429,0.00826558580165943,0.0556853898145625,0.0171751466752367,0.279404543441816,0.0634424310454139,0.242271712762062,0.0453645112452467,0.406800620467252,0.164278517807981,0.536604665485784,0.210065255489433
"d__Bacteria--p__Actinobacteria",-2.18993787852919,-2.8801445066572,-2.32136677765904,-3.04762818804816,-1.94556169381462,-2.37610841862236,-1.68482390359218,-2.16125643487236,0.0298515304409718,0.00447464259357662,0.0214397288371279,0.00267292863699854,0.0534068225900375,0.0186500734328957,0.0940093422521496,0.0322008450255696,0.361075055298802,0.0677588735598745,0.305749794542829,0.0607136647546812,0.459009988746809,0.196297527603194,0.664332685248524,0.301172609356798
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae--g__Phascolarctobacterium--__",-2.09006586228755,-2.62476842679064,-2.46858046374122,-2.85563573656316,-2.58057442914043,-2.88003016788184,-2.37258821202239,-2.5729497399924,0.03805730578409,0.00944232040280721,0.0145422966123868,0.00482733135759875,0.0107341865917973,0.00450761526872684,0.0188748401702046,0.0110157098397355,0.369216185106367,0.116232396219469,0.256913906818833,0.0812384458312375,0.406800620467252,0.114513981036325,0.395226952992669,0.210065255489433
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Blautia",-1.91872927343674,-2.3632814059413,-2.13999603804273,-2.66715416681704,-1.14356421534639,-1.57879451108715,-0.992191876912652,-1.38595041258162,0.0566461361792958,0.0192176224623262,0.0337645585221518,0.00838453159434609,0.254460816470965,0.116310060273462,0.322630643841976,0.167740020118657,0.40029936233369,0.190975123219367,0.335535300313884,0.0987511498889651,0.900357450465496,0.480345443726765,0.903272733944685,0.556082752184191
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Blautia--__",-1.91872927343674,-2.3632814059413,-2.13999603804273,-2.66715416681704,-1.14356421534639,-1.57879451108715,-0.992191876912652,-1.38595041258162,0.0566461361792958,0.0192176224623262,0.0337645585221518,0.00838453159434609,0.254460816470965,0.116310060273462,0.322630643841976,0.167740020118657,0.40029936233369,0.190975123219367,0.335535300313884,0.0987511498889651,0.900357450465496,0.480345443726765,0.903272733944685,0.556082752184191
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales",2.63826238384213,2.47151040923086,3.03362997842974,2.78963085357787,2.47232291088789,2.02576347202289,2.66815735987077,2.07633987585778,0.00908438790487821,0.0144164905863921,0.00279108456277505,0.00587573664817126,0.014438020437885,0.0444100692189405,0.00842739287861476,0.03950279014466,0.279404543441816,0.158084276085265,0.177512978192493,0.0812384458312375,0.406800620467252,0.300476638545172,0.297767881711055,0.322099673487228
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae",2.63826238384213,2.47151040923086,3.03362997842974,2.78963085357787,2.47232291088789,2.02576347202289,2.66815735987077,2.07633987585778,0.00908438790487821,0.0144164905863921,0.00279108456277505,0.00587573664817126,0.014438020437885,0.0444100692189405,0.00842739287861476,0.03950279014466,0.279404543441816,0.158084276085265,0.177512978192493,0.0812384458312375,0.406800620467252,0.300476638545172,0.297767881711055,0.322099673487228
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Marinifilaceae--g__Odoribacter--__",2.0821736055983,2.52265536171228,2.34439287320431,2.71064341159435,2.20156177372732,2.37893784104673,2.2905688890613,2.61079850481225,0.0387813204287291,0.012544083070096,0.0201999892554714,0.00740014402975071,0.0290840598909819,0.0185124007996972,0.0233190783859113,0.00991401578565614,0.369216185106367,0.147741422825575,0.305749794542829,0.094129832058429,0.406800620467252,0.196297527603194,0.395226952992669,0.210065255489433
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Neisseriaceae",2.05417251655724,2.72557325301061,1.77513764955405,2.40508571654776,1.31624302224209,2.48137333806933,1.13482028656115,2.48533520717564,0.0414460487090519,0.00707534529316685,0.0776437377056686,0.0172359212205296,0.189918057974584,0.0140958365547333,0.258180218608852,0.013997837963134,0.369216185106367,0.0937483251344607,0.510302265752177,0.156187748844959,0.80475579142179,0.19592695135901,0.837768464465457,0.210065255489433
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Neisseriaceae--g__Neisseria",1.96006733440404,2.73760682746307,1.67781815022495,2.41889614093698,1.22797188933058,2.48817441279524,0.995730384644357,2.49002094087868,0.0515757558866508,0.00683205501801726,0.0951987554174905,0.0166165085664528,0.221206358903973,0.0138389352902435,0.320913343870605,0.0138217534180219,0.400026594437926,0.0937483251344607,0.510302265752177,0.156187748844959,0.855301292089399,0.19592695135901,0.903272733944685,0.210065255489433
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Neisseriaceae--g__Neisseria--__",1.96006733440404,2.73760682746307,1.67781815022495,2.41889614093698,1.22797188933058,2.48817441279524,0.995730384644357,2.49002094087868,0.0515757558866508,0.00683205501801726,0.0951987554174905,0.0166165085664528,0.221206358903973,0.0138389352902435,0.320913343870605,0.0138217534180219,0.400026594437926,0.0937483251344607,0.510302265752177,0.156187748844959,0.855301292089399,0.19592695135901,0.903272733944685,0.210065255489433
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Marinifilaceae",2.81867392570004,2.88089567347377,2.78925488495957,2.76830671743937,2.36726253073855,2.20383288098579,2.11046252201648,2.03663990448445,0.0053778961280982,0.00446448429264787,0.00587868847614876,0.00625631566054593,0.0190792011888865,0.0289293081858449,0.0364033524178676,0.0433771005644436,0.257502310595755,0.0677588735598745,0.20771365949059,0.0828961825022336,0.406800620467252,0.236315880798361,0.482344419536745,0.326880985282161
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae--g__Streptococcus",1.46604070973898,2.93459719367692,1.22363948446091,2.82089719021629,1.61787106961715,2.92008295675029,1.5916283349245,2.54561767292315,0.144431731917397,0.00379058550271341,0.222761897184832,0.00535569476200932,0.107600453231765,0.00399208246097416,0.113479712695011,0.0118783004141045,0.535344875328618,0.0634424310454139,0.624334955169324,0.0812384458312375,0.654128269696311,0.114513981036325,0.691676710879822,0.210065255489433
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae",1.46476658271267,2.93460708021984,1.22099063279023,2.8176025441431,1.61576658027916,2.9110924985163,1.58731634121723,2.53155445690613,0.144778802761828,0.00379047052125133,0.223760653817043,0.00540844643233608,0.10805525275079,0.00410285990850217,0.114452957908457,0.0123452839778269,0.535344875328618,0.0634424310454139,0.624334955169324,0.0812384458312375,0.654128269696311,0.114513981036325,0.691676710879822,0.210065255489433
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales",1.62222834219409,2.94343412939551,1.39391275963348,2.82951519518256,1.70484698058493,2.86747095505513,1.71540445643071,2.56445535352361,0.106554645838773,0.00368907735836871,0.165142186395086,0.00521991806678125,0.0901050440743782,0.00468138916186234,0.088243910632761,0.0112775715423795,0.517744850821231,0.0634424310454139,0.564679734125132,0.0812384458312375,0.631608059518591,0.114513981036325,0.647052537630669,0.210065255489433
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae--g__Streptococcus--__",1.46514544519577,2.94652958294678,1.22083829443941,2.83426015758232,1.61147130138052,2.93460216890202,1.57766598723022,2.5635459511588,0.144675533762595,0.00365411415198973,0.223818191475795,0.00514650751031481,0.108988266725499,0.00381895492583506,0.116655135049928,0.0113059343819359,0.535344875328618,0.0634424310454139,0.624334955169324,0.0812384458312375,0.654128269696311,0.114513981036325,0.691676710879822,0.210065255489433
