"","alpha_ASC_t","MDS1_ASC_t","MDS2_ASC_t","MDS3_ASC_t","MDS4_ASC_t","MDS5_ASC_t","MDS6_ASC_t","alpha_ASC_P","MDS1_ASC_P","MDS2_ASC_P","MDS3_ASC_P","MDS4_ASC_P","MDS5_ASC_P","MDS6_ASC_P"
"model1",-1.75600349463476,0.816558855995146,0.557513174350818,-2.14969225749796,-0.898221032981629,-0.912685586653636,2.50166286128077,0.080837202673101,0.415290735999466,0.577889285594457,0.0329527950715281,0.370301868298097,0.362663552684715,0.0132792727415111
"model2",-2.08528010367801,1.40186335039236,0.612983254894148,-2.30085942195166,-0.836545810155801,-0.983507046231064,2.25541697129976,0.0385203496995681,0.162758094306165,0.540697082133139,0.0225996206244383,0.404008637139753,0.326739375893696,0.0253675724515098
"model3",-1.50263861063028,0.57751211327519,0.44896968972541,-2.33968288936213,-0.616042759257762,-2.01789072466993,1.88596875893294,0.13484372764869,0.564380772467595,0.654042637654586,0.0204974902692348,0.538715213133174,0.0452229560390756,0.0610564017042092
"model4",-1.93762678495046,0.730369334569294,0.965279819756646,-2.09071910106931,-0.468876343969646,-2.76614376084209,1.62853412136025,0.05446347514576,0.466252914429675,0.335889181506613,0.0381642523357685,0.639808434227356,0.00635322912007635,0.105416677891352
