"","model1_ASC_t","model1_DES_t","model2_ASC_t","model2_DES_t","model3_ASC_t","model3_DES_t","model4_ASC_t","model4_DES_t","model1_ASC_P","model1_DES_P","model2_ASC_P","model2_DES_P","model3_ASC_P","model3_DES_P","model4_ASC_P","model4_DES_P","model1_ASC_FDR","model1_DES_FDR","model2_ASC_FDR","model2_DES_FDR","model3_ASC_FDR","model3_DES_FDR","model4_ASC_FDR","model4_DES_FDR"
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Ruminococcaceae_NK4A214_group--__",-1.76153052564422,-2.02011706241921,-1.72338149161038,-2.16004258720091,-1.96742479845679,-2.32995691372996,-2.3247953337282,-2.61305048034106,0.0798949180529515,0.0449050702737879,0.0866165936320193,0.0321617326318865,0.050810717295245,0.0210267922149409,0.0213636624860446,0.00985170248855801,0.479369508317709,0.283670942763047,0.510302265752177,0.237847232021858,0.459009988746809,0.202621815889431,0.395226952992669,0.210065255489433
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Allisonella",-1.29392094519873,-2.01980265569981,-1.42397147859698,-2.29853765477883,-0.600105025550507,-1.6783272838802,-0.372026454634226,-1.23960071485715,0.197397786046034,0.0449380305630723,0.156266348794234,0.0227414378508586,0.549259530282936,0.0951877410076872,0.710374810357535,0.216984657019363,0.621509861016226,0.283670942763047,0.552267014527972,0.176384810648123,0.948775914096762,0.435280454436762,0.967645755779073,0.609038399641487
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Allisonella--s__uncultured_bacterium",-1.29392094519873,-2.01980265569981,-1.42397147859698,-2.29853765477883,-0.600105025550507,-1.6783272838802,-0.372026454634226,-1.23960071485715,0.197397786046034,0.0449380305630723,0.156266348794234,0.0227414378508586,0.549259530282936,0.0951877410076872,0.710374810357535,0.216984657019363,0.621509861016226,0.283670942763047,0.552267014527972,0.176384810648123,0.948775914096762,0.435280454436762,0.967645755779073,0.609038399641487
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Holdemanella",-2.02757811484442,-2.01947508574732,-1.93380770136321,-2.04006287764527,-1.78313184848965,-1.78880975552536,-1.5204735404817,-1.47371817900256,0.044120173063025,0.0449723926831893,0.0547783794502339,0.0428823123201027,0.0764032548555465,0.075491256458475,0.130403394428965,0.142572500718661,0.369216185106367,0.283670942763047,0.429616853237563,0.283308048069393,0.578481786763424,0.406885077182967,0.715606968031754,0.519937898354433
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Bacillales--f__Family_XI",-0.0192928523685559,-1.9987645395241,0.118859035331215,-1.9281332828498,-0.0683397445801014,-2.28051462517365,-0.376256696028989,-2.24365707317968,0.984629464787546,0.0471907669789992,0.905525740236688,0.0554952579946269,0.945597932321331,0.023864655074428,0.707234036132315,0.0262622465284769,0.993059764925697,0.283670942763047,0.972828329038063,0.283308048069393,0.982120528283542,0.210804453157447,0.967645755779073,0.26098107487674
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Bacillales--f__Family_XI--g__Gemella",-0.0192928523685559,-1.9987645395241,0.118859035331215,-1.9281332828498,-0.0683397445801014,-2.28051462517365,-0.376256696028989,-2.24365707317968,0.984629464787546,0.0471907669789992,0.905525740236688,0.0554952579946269,0.945597932321331,0.023864655074428,0.707234036132315,0.0262622465284769,0.993059764925697,0.283670942763047,0.972828329038063,0.283308048069393,0.982120528283542,0.210804453157447,0.967645755779073,0.26098107487674
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae--g__Thiomonas",-0.924864874888765,-1.9844376373918,-1.24169431145558,-2.33995269466197,-0.863276333949241,-2.02729950006776,-1.34847710502483,-2.6422955152343,0.356309767613112,0.0487791162745239,0.216039935010405,0.0204407947276032,0.389238648125157,0.0442510305602304,0.179447034548441,0.00907387854890096,0.820280006731945,0.287254795838863,0.624334955169324,0.172915559324326,0.948775914096762,0.300476638545172,0.827016767918904,0.210065255489433
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Bacillales--f__Family_XI--g__Gemella--__",-0.124088751895322,-1.96956333795993,0.0032964581915054,-1.90224914391663,-0.189393035537854,-2.25998176214063,-0.421268963774629,-2.22266167912398,0.90138741755726,0.0504758180526952,0.997373631844565,0.058819535416783,0.850017557435966,0.0251383994979283,0.674134858843776,0.027676740402273,0.993059764925697,0.287316709231375,0.997373631844565,0.283308048069393,0.968084954061543,0.216054352441654,0.942134803241546,0.26670313478554
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae--g__Fusobacterium--__",-2.55758417519033,-1.92949235596153,-2.39044629638263,-1.79999567532374,-2.1747724189586,-1.56126724465509,-1.95535381590187,-1.48896359197408,0.0113883844087543,0.055296576470755,0.0179083549759166,0.0736240562929172,0.0310708992655999,0.120388333400404,0.0523168333246196,0.138515792481463,0.279404543441816,0.287316709231375,0.29972930959692,0.329752815509122,0.406800620467252,0.482586920638509,0.536604665485784,0.519937898354433
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia",-1.51803593962335,-1.92258218515975,-1.32121048971958,-1.72751871785703,-0.671397019702619,-1.13165198192899,-0.881299489152819,-1.19782390863646,0.130809801071339,0.0561658558491153,0.188186089502026,0.0858800608919058,0.502906512327604,0.25943278407982,0.379502931716671,0.232802344991218,0.517744850821231,0.287316709231375,0.59521802108456,0.341373242045325,0.948775914096762,0.663026878237941,0.917647270504774,0.609038399641487
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales",-1.51803593962335,-1.92258218515975,-1.32121048971958,-1.72751871785703,-0.671397019702619,-1.13165198192899,-0.881299489152819,-1.19782390863646,0.130809801071339,0.0561658558491153,0.188186089502026,0.0858800608919058,0.502906512327604,0.25943278407982,0.379502931716671,0.232802344991218,0.517744850821231,0.287316709231375,0.59521802108456,0.341373242045325,0.948775914096762,0.663026878237941,0.917647270504774,0.609038399641487
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae",-1.51803593962335,-1.92258218515975,-1.32121048971958,-1.72751871785703,-0.671397019702619,-1.13165198192899,-0.881299489152819,-1.19782390863646,0.130809801071339,0.0561658558491153,0.188186089502026,0.0858800608919058,0.502906512327604,0.25943278407982,0.379502931716671,0.232802344991218,0.517744850821231,0.287316709231375,0.59521802108456,0.341373242045325,0.948775914096762,0.663026878237941,0.917647270504774,0.609038399641487
