"","model1_ASC","model1_DES","model2_ASC","model2_DES","model3_ASC","model3_DES","model4_ASC","model4_DES"
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Blautia",0.0566461361792958,0.0192176224623262,0.0337645585221518,0.00838453159434609,0.254460816470965,0.116310060273462,0.322630643841976,0.167740020118657
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Blautia--__",0.0566461361792958,0.0192176224623262,0.0337645585221518,0.00838453159434609,0.254460816470965,0.116310060273462,0.322630643841976,0.167740020118657
"d__Bacteria--p__Firmicutes--c__Bacilli",0.115332090985375,0.23303787769558,0.170251083772354,0.249844888148455,0.118359334518597,0.415744912515214,0.130519509892584,0.399695910859026
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia",0.130809801071339,0.0561658558491153,0.188186089502026,0.0858800608919058,0.502906512327604,0.25943278407982,0.379502931716671,0.232802344991218
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales",0.130809801071339,0.0561658558491153,0.188186089502026,0.0858800608919058,0.502906512327604,0.25943278407982,0.379502931716671,0.232802344991218
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae",0.130809801071339,0.0561658558491153,0.188186089502026,0.0858800608919058,0.502906512327604,0.25943278407982,0.379502931716671,0.232802344991218
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae",0.0122017914107161,0.00222626473086702,0.010707937962947,0.00118256111857623,0.0324624182486973,0.00785944948098812,0.0528890602752251,0.0162851356766138
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae--g__Collinsella",0.0131794595963121,0.00235292117265978,0.0114731967668575,0.00125637942637935,0.0340841692527429,0.00826558580165943,0.0556853898145625,0.0171751466752367
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae--g__Collinsella--__",0.0131794595963121,0.00235292117265978,0.0114731967668575,0.00125637942637935,0.0340841692527429,0.00826558580165943,0.0556853898145625,0.0171751466752367
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales",0.106554645838773,0.00368907735836871,0.165142186395086,0.00521991806678125,0.0901050440743782,0.00468138916186234,0.088243910632761,0.0112775715423795
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales",0.00151807494669191,2.75265472755455e-05,0.00218950382760195,5.40623657972748e-05,0.000991590997446676,4.75575266491512e-05,0.000965839100430473,3.56295757673134e-05
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae",0.0034901995601462,0.000151222576162148,0.00437934499752832,0.000234036349499408,0.00165670652071026,0.000224532420714866,0.00147560492424922,0.000169475607332459
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae--__",0.0900179591783679,0.154858226195373,0.114855896260559,0.184247223191031,0.293726529765013,0.464457778518997,0.231840076143971,0.429053853362582
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae--__--__",0.0900179591783679,0.154858226195373,0.114855896260559,0.184247223191031,0.293726529765013,0.464457778518997,0.231840076143971,0.429053853362582
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_gnavus_group",0.898573665715806,0.898482154705202,0.984475208204899,0.782252155610796,0.781704407281136,0.82280851746468,0.671470259507454,0.953633386795731
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_gnavus_group--__",0.898573665715806,0.898482154705202,0.984475208204899,0.782252155610796,0.781704407281136,0.82280851746468,0.671470259507454,0.953633386795731
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae",0.411467177099905,0.50662049009686,0.390819299582827,0.473569907067881,0.909413671528557,0.80760834902514,0.951778572500733,0.95436883998025
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae--g__Parabacteroides",0.46446018948861,0.60361073192793,0.454278458500324,0.578168266982515,0.975943669615092,0.902931675430671,0.936430904096244,0.925185141748163
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Prevotella_9",0.0534730270249556,0.0294963976222435,0.054751518191666,0.0206628655796365,0.0715813552641075,0.0301402287578126,0.11128639515676,0.0509996707097982
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Prevotella_9--__",0.054368020237022,0.0314638087432478,0.0553908521469815,0.0218903757895426,0.0715149964433686,0.0306571404180829,0.111840603578564,0.052074687335323
"d__Bacteria--p__Fusobacteria",0.0246645509465176,0.0587282581762244,0.0280854425335431,0.0615428050984325,0.0394656564895538,0.0999228716159861,0.0751976201737437,0.12437861661595
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia",0.0246645509465176,0.0587282581762244,0.0280854425335431,0.0615428050984325,0.0394656564895538,0.0999228716159861,0.0751976201737437,0.12437861661595
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales",0.0246645509465176,0.0587282581762244,0.0280854425335431,0.0615428050984325,0.0394656564895538,0.0999228716159861,0.0751976201737437,0.12437861661595
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae",0.0252873353569568,0.0565620915102109,0.0288876721874397,0.0597884082902662,0.04093591149356,0.0979003649136176,0.0773173812323747,0.120070341590064
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae--g__Fusobacterium",0.0252873353569568,0.0565620915102109,0.0288876721874397,0.0597884082902662,0.04093591149356,0.0979003649136176,0.0773173812323747,0.120070341590064
"d__Bacteria--p__Actinobacteria--c__Actinobacteria",0.463125231223849,0.513993434296672,0.367019707668511,0.515455836941284,0.463559188623441,0.241153302824873,0.581553955082405,0.276078673375625
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae",0.144778802761828,0.00379047052125133,0.223760653817043,0.00540844643233608,0.10805525275079,0.00410285990850217,0.114452957908457,0.0123452839778269
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae--g__Streptococcus",0.144431731917397,0.00379058550271341,0.222761897184832,0.00535569476200932,0.107600453231765,0.00399208246097416,0.113479712695011,0.0118783004141045
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae--g__Streptococcus--__",0.144675533762595,0.00365411415198973,0.223818191475795,0.00514650751031481,0.108988266725499,0.00381895492583506,0.116655135049928,0.0113059343819359
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1",0.422238213402303,0.539523315900286,0.581832617252183,0.630650329577692,0.89098061489362,0.824155165259227,0.692417659592832,0.544735489558829
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae",0.610223509818921,0.229514068084203,0.452982069848,0.142252593014047,0.855446138651867,0.567388059714376,0.962130844809997,0.516843636256766
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Megasphaera",0.855896469277313,0.515235412039604,0.812466239165061,0.766356780562666,0.297211656312373,0.720611366986496,0.271976547957926,0.700985010001099
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Veillonella",0.954762768147947,0.126030860139933,0.791052366551076,0.201547390735167,0.733330369793499,0.262091389086211,0.854814610545757,0.227064422139865
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Subdoligranulum",0.743752260988107,0.314714085226018,0.628716994387446,0.282935463710351,0.95820613785064,0.536467689252367,0.77289944015058,0.67946535975607
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Subdoligranulum--__",0.75844249785979,0.319656626816594,0.640380589502797,0.286453984352076,0.929095159995554,0.546989451988823,0.730839340033083,0.696043324003613
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Roseburia",0.530011493281221,0.42730242682585,0.61705863955866,0.530127027558762,0.566920577616267,0.449855281621339,0.440826332795809,0.458945668453773
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Roseburia--__",0.530011493281221,0.42730242682585,0.61705863955866,0.530127027558762,0.566920577616267,0.449855281621339,0.440826332795809,0.458945668453773
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Veillonella--__",0.95582879266606,0.119899696054795,0.785803653136554,0.196277443511025,0.772670291935689,0.237819575692509,0.910656567155161,0.203258048777045
