"","alpha_DES_t","MDS1_DES_t","MDS2_DES_t","MDS3_DES_t","MDS4_DES_t","MDS5_DES_t","MDS6_DES_t","alpha_DES_P","MDS1_DES_P","MDS2_DES_P","MDS3_DES_P","MDS4_DES_P","MDS5_DES_P","MDS6_DES_P"
"model1",-3.07507073753879,1.15059163746655,-0.197053717028663,-1.47682719912586,1.71452808195601,-1.9791930819549,0.417697667695095,0.00244439547884749,0.251479050968523,0.844015489607294,0.141529538778673,0.0882122774304723,0.0493717638662158,0.67668315363759
"model2",-3.47679366408308,1.69112879040232,-0.105513861842055,-1.627840002081,1.57371449939108,-2.04630765559353,0.479413109324188,0.000643388620590906,0.0926339539271974,0.916091740555364,0.10539992019724,0.117401832469283,0.0422571814380812,0.632257324333799
"model3",-3.37007695642398,1.86310688150235,-0.127242513330848,-1.37950445585011,1.25342342881766,-2.74180465273247,0.391416085084643,0.000938173901522174,0.0642464943961249,0.898905293673733,0.169628874154857,0.211846536344502,0.00679313021711953,0.69600090379825
"model4",-2.99074559183834,1.17319807912019,0.108032048062558,-1.51482398263507,1.1322001192388,-3.28059398456713,0.472450266403904,0.00323521574290024,0.242504582534526,0.914109092634523,0.13184052426839,0.259287598459842,0.00127790185351915,0.637265700595878
